Grade/Class,Subject,Attendance,Test Scores,Homework Scores,Project Scores,Participation,Final Grade,Parental Education,Socioeconomic Status,Extracurricular Activities,Special Needs,Behavior/Conduct
0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,30,1,2,40,12,23,45,33,23,12,10
1,3,12,62,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,2,2,3,2,2,1,3,1,1
4,3,2,2,2,4,1,3,1,4,2,2,3
4,4,0,3,0,0,2,0,2,2,0,0,0
4,4,3,3,3,2,2,0,2,2,3,3,3
2,2,4,0,2,0,0,0,0,0,1,1,1
7,0,0,0,0,0,0,0,0,0,0,0,0
5,subject1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0,0.05
